objectID,color,description,hierarchical_categories,price,product_type,showcase_image,tags,taxable,title,units_sold,weight
apparel-sample-data-2313959000,"[""white"", ""light pink""]","Discover the charm of our White Floral Lace Top, featuring a beautifully intricate floral design in delicate fabrics. With a round neckline and a chic silhouette, this versatile piece pairs effortlessly with various bottoms, making it an essential addition to your wardrobe.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91425385_0.jpg,"[""delicate"", ""floral"", ""fashionable""]",true,White Floral Lace Top,982,0.47
apparel-sample-data-2313945000,"[""dark olive green""]","Discover comfort with our dark olive green t-shirt featuring a classic scoop neckline. This tee is crafted from soft material, perfect for layering or wearing on its own, making it a versatile addition to your wardrobe.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91423096_0.jpg,"[""soft"", ""casual"", ""comfortable""]",true,Dark Olive Green Scoop Neck T-Shirt,875,0.12
apparel-sample-data-2313937000,"[""black""]","Add a touch of whimsy to your wardrobe with our black t-shirt featuring a vibrant blue octopus design adorned with a charming pink bow and a pearl. Crafted from soft material for ultimate comfort, this shirt is perfect for casual outings and making a unique style statement.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91421446_0.jpg,"[""black"", ""graphic"", ""playful"", ""casual""]",true,Black octopus graphic t-shirt,980,0.24
apparel-sample-data-2313935000,"[""red""]","Showcase your team spirit with this vibrant red women's sports shirt featuring 'Bulls' prominently displayed. Crafted for comfort, this shirt is perfect for both game days and casual outings.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91419982_0.jpg,"[""women's"", ""nfl"", ""authentic"", ""athletic"", ""v-neck""]",true,Red Bulls Sports Shirt,982,0.46
apparel-sample-data-2313927000,"[""white""]","Discover the charm of our white lace top, featuring an exquisite crochet design and a high neckline complemented by a keyhole cutout. With its loose fit and delicate sheer fabric, this top adds a touch of femininity to any ensemble, effortlessly styled with your favorite white jeans for a relaxed yet fashionable look.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",75,tops,https://storage.googleapis.com/landingpage-al/91417609_0.jpg,"[""lace"", ""feminine"", ""casual"", ""stylish""]",true,White Lace Top with Crochet Design,984,0.78
apparel-sample-data-2313926000,"[""yellow""]","Make a bold statement with our NYC 1989 graphic t-shirt. This loose-fit yellow tee features striking black lettering, perfect for adding a casual flair to your everyday style. Ideal for those who love to express themselves through fashion.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91417590_0.jpg,"[""multicolor"", ""yellow"", ""casual"", ""graphic""]",true,NYC 1989 Graphic T-Shirt,950,0.31
apparel-sample-data-2313925000,"[""black"", ""brown""]","Discover sophistication with our striped long sleeve top in a refined black and brown color scheme. Crafted from a soft cotton-blend material, it offers both comfort and style, making it an ideal choice for any casual or semi-formal occasion.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91417548_0.jpg,"[""cotton-blend"", ""long-sleeve"", ""striped"", ""comfortable""]",true,Striped Long Sleeve Top,894,0.62
apparel-sample-data-2313921000,"[""light blue"", ""white""]","Discover the perfect blend of comfort and style with our blue and white striped loose fit tee. Designed with a boxy cut and crafted from lightweight material, this shirt offers ease of movement while presenting a fresh and casual look.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91416559_0.jpg,"[""breezy"", ""striped"", ""casual"", ""lightweight""]",true,Blue and White Striped Loose Fit Tee,875,0.98
apparel-sample-data-2313913000,"[""white""]","Discover the ultimate in comfort with our white loose fit v-neck t-shirt. Crafted from a soft and stretchy material, it features a stylish small gold zipper on the front, making it perfect for relaxed, everyday wear.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91414939_0.jpg,"[""casual"", ""comfortable"", ""v-neck"", ""soft""]",true,White Loose Fit V-Neck T-Shirt,982,0.92
apparel-sample-data-2313912000,"[""yellow"", ""green""]","Add a pop of color to your wardrobe with this vibrant yellow high-low t-shirt. Featuring a stylish green neckline and a flattering round cut, this piece is perfect for both casual outings and relaxed weekends.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91414833_0.jpg,"[""yellow"", ""high-low"", ""casual""]",true,Yellow high-low t-shirt,1023,0.75
apparel-sample-data-2313908000,"[""deep blue""]","Discover the perfect blend of comfort and style with our deep blue ribbed top. Featuring a rounded neckline and short sleeves, this versatile piece is crafted from a soft, stretchy fabric, making it ideal for layering under a blazer or wearing on its own for a relaxed look.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91414146_0.jpg,"[""blue"", ""ribbed"", ""comfortable"", ""layering piece""]",true,Deep Blue Ribbed Top,890,0.15
apparel-sample-data-2313907000,"[""white""]","Embrace everyday comfort with our Soft Ribbed White T-Shirt. Crafted from soft, stretchy material, this short sleeve shirt features a classic round neckline, making it a versatile addition to your wardrobe. Perfectly paired with jeans or leggings for a laid-back look.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91414134_0.jpg,"[""ribbed"", ""casual"", ""comfortable""]",true,Soft Ribbed White T-Shirt,987,0.81
apparel-sample-data-2313905000,"[""white""]","Discover the charm of our white lace top, crafted from delicate fabric and featuring a scalloped edge that adds a graceful touch. This piece combines softness and elegance, making it a versatile addition to your casual or dressy outfits.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91413771_0.jpg,"[""lace-hem"", ""feminine"", ""soft""]",true,White Lace Top,980,0.75
apparel-sample-data-2313893000,"[""black""]","Discover our black workout shirt featuring a stylish mesh overlay adorned with the word 'love' in vibrant pink. Designed in a sports bra style, it includes a rounded neckline and a wide strappy back, perfect for both workouts and casual wear.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91412444_0.jpg,"[""black"", ""plus"", ""mesh"", ""graphic"", ""sporty""]",true,Black Sporty Graphic T-Shirt,892,0.06
apparel-sample-data-2313878000,"[""red"", ""maroon""]","Discover comfort and style with our red long sleeve shirt. Featuring a unique gold zipper at the front, this piece is crafted from soft linen for a loose fit that's perfect for casual outings or relaxed weekends.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91411365_0.jpg,"[""long-sleeved"", ""soft"", ""casual"", ""versatile""]",true,Red Long Sleeve Shirt,890,0.19
apparel-sample-data-2313869000,"[""blue""]","Discover comfort and style with our blue relaxed fit t-shirt. Crafted from soft, stretchy material, it features a rounded neckline and short sleeves, making it an ideal choice for casual outings or lounging at home.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,t-shirts,https://storage.googleapis.com/landingpage-al/91410542_0.jpg,"[""blue"", ""petite"", ""boat-neck"", ""soft"", ""relaxed fit""]",true,Blue Relaxed Fit T-Shirt,980,0.01
apparel-sample-data-2313864000,"[""red""]","This vibrant red t-shirt features a stunning floral design on the front, complemented by a classic round neckline and comfortable short sleeves. Perfect for casual outings, it combines style and comfort effortlessly.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91410044_0.jpg,"[""graphic"", ""floral"", ""casual""]",true,Red Floral Graphic T-Shirt,982,0.73
apparel-sample-data-2313862000,"[""white""]","Show your love for London with this stylish white graphic t-shirt. Adorned with a striking black design featuring iconic landmarks like a red double-decker bus, the London Eye, and Big Ben, this casual tee adds a touch of urban flair to any outfit.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91409779_0.jpg,"[""graphic"", ""casual"", ""urban""]",true,White Graphic T-Shirt,892,0.46
apparel-sample-data-2313852000,"[""white""]","Discover comfort and style with our white v-neck t-shirt, featuring a soft cotton fabric that ensures a relaxed fit for everyday wear. Adorned with a tasteful gray logo displaying 'Calvin Klein' in a sleek, modern font, this t-shirt is a versatile addition to your wardrobe.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91408710_0.jpg,"[""v-neck"", ""soft"", ""casual"", ""modern""]",true,Calvin Klein White V-Neck T-Shirt,879,0.57
apparel-sample-data-2313848000,"[""black""]","Discover the subtle sophistication of our black lace top, designed with an intricate lace yoke and stylish brown leather trim. This piece features a flattering round neckline and cap sleeves, making it ideal for both casual outings and more formal occasions.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",75,tops,https://storage.googleapis.com/landingpage-al/91408196_0.jpg,"[""lace-yoke"", ""sophisticated"", ""jersey""]",true,Black Lace Top with Leather Trim,984,0.82
apparel-sample-data-2313847000,"[""white"", ""black""]","Discover a modern twist on classic style with our Off White Graphic T-Shirt. Crafted from soft cotton, this white tee features striking black lettering that showcases the bold 'off white' logo. Designed with short sleeves and a comfortable crew neckline, it’s perfect for laid-back days or layering with your favorite jacket.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",30,tops,https://storage.googleapis.com/landingpage-al/91408018_0.jpg,"[""black"", ""logo"", ""graphic"", ""casual""]",true,Off White Graphic T-Shirt,2500,0.43
apparel-sample-data-2313842000,"[""black""]","Discover effortless style with our black plus size jersey top. Featuring a delicate brown lace trim on the round neckline and long sleeves, this top combines comfort and elegance, making it an ideal choice for both casual and dressy occasions.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91407770_0.jpg,"[""black"", ""plus size"", ""lace trim"", ""jersey"", ""elegant""]",true,Black Plus Size Jersey Top,879,0.69
apparel-sample-data-2313823000,"[""black""]","This black t-shirt showcases a minimalist design featuring a striking white 'U' print. Made from soft, breathable cotton, it offers both comfort and style, making it a perfect choice for everyday wear.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91393810_0.jpg,"[""printed"", ""cotton"", ""casual""]",true,Black Printed T-Shirt,980,0.87
apparel-sample-data-2313822000,"[""brown""]","Discover ultimate comfort with our brown t-shirt, designed with a round neckline and short sleeves. Crafted from soft, lightweight material, it offers a relaxed fit, making it perfect for casual outings or lounging at home.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,t-shirts,https://storage.googleapis.com/landingpage-al/91393182_0.jpg,"[""soft"", ""lightweight"", ""relaxed fit""]",true,Brown Soft T-Shirt,987,0.8
apparel-sample-data-2313805000,"[""brown"", ""black""]","Add a touch of wild elegance to your wardrobe with our leopard print knit sweater. Crafted from soft, breathable fabric, this loose-fit design offers comfort and style, featuring a striking mix of browns and blacks that pairs effortlessly with jeans or skirts.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",49.99,tops,https://storage.googleapis.com/landingpage-al/91391609_0.jpg,"[""leopard print"", ""knit"", ""casual"", ""loose fit""]",true,Leopard Print Knit Sweater,980,0.37
apparel-sample-data-2313802000,"[""black"", ""white""]","Add a playful touch to your wardrobe with this polka dot top. Featuring a rounded neckline and short sleeves, this top is crafted from stretchy material for maximum comfort. The small, scattered polka dots create a charming, modern look perfect for casual outings.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91391274_0.jpg,"[""polka dot"", ""relaxed fit"", ""casual""]",true,Polka Dot Relaxed Fit Top,890,0.62
apparel-sample-data-2313787000,"[""light green""]","Discover a playful addition to your wardrobe with our light green t-shirt featuring an adorable cat graphic. The vibrant design highlights a charming cat face with a pink nose and bright eyes, making this tee an ideal choice for casual outings or cozy days at home.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91389382_0.jpg,"[""green"", ""graphic"", ""playful"", ""casual""]",true,Light Green Cat Graphic Tee,895,0.94
apparel-sample-data-2313782000,"[""white"", ""black""]","Discover the perfect blend of comfort and style with our white loose-fit t-shirt. Crafted from soft material, this tee features a stylish black strap that ties at the back, adding a unique touch to an everyday essential. Ideal for casual outings or laid-back weekends.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91387991_0.jpg,"[""multicolor"", ""casual"", ""v-neck"", ""tie-back""]",true,White loose-fit t-shirt with tie-back,982,0.47
apparel-sample-data-2313777000,"[""black""]","Discover effortless style with the Emilia black loose fit t-shirt. Designed with a round neckline and a small silver zipper at the back, this soft and stretchy piece offers both comfort and versatility. Perfectly paired with jeans or leggings, it's a staple for any casual wardrobe.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91386817_0.jpg,"[""black"", ""casual"", ""comfortable"", ""loose fit"", ""versatile""]",true,Emilia Black Loose Fit T-Shirt,890,0.21
apparel-sample-data-2313771000,"[""black""]","Discover the perfect blend of comfort and style with this black cropped t-shirt featuring a bold white logo. Crafted from soft fabric, it offers a laid-back look ideal for casual outings or lounging at home.","{""lvl0"": ""clothing"", ""lvl1"": ""clothing > tops""}",40,tops,https://storage.googleapis.com/landingpage-al/91386338_0.jpg,"[""black"", ""logo"", ""cropped"", ""casual""]",true,Calvin Klein Black Cropped T-Shirt,982,0.77
apparel-sample-data-2313755000,"[""black""]","Discover a stylish addition to your wardrobe with our black short sleeve top, featuring an eye-catching multi-colored sequin and tulle detail on the front. Designed with a classic crew neckline and a straight hemline, this top seamlessly combines comfort and contemporary flair, making it perfect for both casual outings and special occasions.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91381919_0.jpg,"[""black"", ""casual"", ""sequined"", ""short sleeve""]",true,Black Short Sleeve Top with Sequin Detail,875,0.29
apparel-sample-data-2313745000,"[""black""]","Discover the perfect blend of comfort and style with our black ruched one shoulder top. Crafted from a stretchy knit material, this top features a unique twisted off-the-shoulder design and a relaxed fit, making it an ideal choice for both casual outings and elegant occasions.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91377932_0.jpg,"[""black"", ""ruched"", ""asymmetric"", ""elegant""]",true,Black Ruched One Shoulder Top,946,0.03
apparel-sample-data-2313739000,"[""white""]","Discover effortless style with our white loose-fit blouse. This blouse features a round neckline and long sleeves, crafted from lightweight fabric for a breathable and comfortable feel. Its front zipper adds a touch of modernity, making it a versatile choice for both casual and dressed-up occasions.","{""lvl0"": ""clothing"", ""lvl1"": ""clothing > tops""}",65,tops,https://storage.googleapis.com/landingpage-al/91376538_1.jpg,"[""lightweight"", ""comfortable"", ""versatile""]",true,White loose-fit blouse,875,0.45
apparel-sample-data-2313738000,"[""black""]","Discover the comfort of our black velvet top, designed with a charming ruffled neckline and short sleeves. This loose-fitting style is crafted from soft material, making it a versatile choice for casual outings or relaxed gatherings. It features a subtle logo at the front, adding a touch of sophistication to your everyday look.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91376228_0.jpg,"[""velvet"", ""comfortable"", ""casual""]",true,Black Velvet Top with Ruffled Neckline,980,0.44
apparel-sample-data-2313736000,"[""white""]","Discover a fresh addition to your casual collection with our MSG graphic cotton t-shirt. Designed in classic white, it features bold black letters that convey a stylish message. Crafted from soft cotton, this t-shirt ensures comfort while making a statement in simplicity.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91376004_0.jpg,"[""cotton"", ""casual"", ""graphic""]",true,MSG Graphic Cotton T-Shirt,984,0.52
apparel-sample-data-2313719000,"[""blue""]","Discover a blend of comfort and style with the Kenzo blue graphic t-shirt. Crafted from soft cotton, this piece features a relaxed fit, round neckline, and short sleeves, adorned with stylish white lettering that showcases the Kenzo brand. Perfect for casual outings or lounging at home.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91373026_0.jpg,"[""blue"", ""casual"", ""comfortable"", ""graphic""]",true,Kenzo Blue Graphic T-Shirt,875,0.26
apparel-sample-data-2313718000,"[""white"", ""black"", ""red""]","Discover a stylish addition to your wardrobe with our Striped Women's Tee. Designed in a classic white and black striped pattern, this shirt features a small red and white logo on the front. With a flattering women's fit and short sleeves, this tee is perfect for casual outings or relaxed days at home.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91372921_0.jpg,"[""multicolor"", ""striped"", ""casual"", ""comfortable""]",true,Striped Women's Tee,920,0.25
apparel-sample-data-2313717000,"[""black""]","Discover comfort and style with our black tank top featuring bold white lettering that reads 'Spiritual Gangster.' Designed with a relaxed fit and round neckline, this piece is perfect for both casual outings and relaxed days at home.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91372575_0.jpg,"[""black"", ""muscle"", ""casual""]",true,Black Spiritual Gangster Tank Top,875,0.47
apparel-sample-data-2313716000,"[""gray""]","Discover comfort and style with our gray embellished t-shirt. Crafted from soft fabric, it features a relaxed fit and showcases the iconic number 21 in bold black. Perfect for casual outings or lounging at home.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",35,tops,https://storage.googleapis.com/landingpage-al/91372203_0.jpg,"[""gray"", ""relaxed fit"", ""embellished""]",true,Gray embellished t-shirt,876,0.98
apparel-sample-data-2313683000,"[""light gray""]","Discover the perfect blend of comfort and style with our light grey turtleneck sweater. Crafted from soft knit material, this long-sleeved classic features a high neckline that provides warmth and elegance. Ideal for transitioning from casual to dressy occasions effortlessly.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",75,tops,https://storage.googleapis.com/landingpage-al/91363309_1.jpg,"[""gray"", ""soft knit"", ""long sleeve"", ""versatile""]",true,Light Grey Turtleneck Sweater,890,0.74
apparel-sample-data-2313681000,"[""black""]","Discover comfort and style with our black v-neck t-shirt crafted from soft, stretchy material. This shirt features a relaxed fit, making it an ideal choice for casual outings or lounging at home.","{""lvl0"": ""clothing"", ""lvl1"": ""clothing > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91363157_0.jpg,"[""cotton"", ""black"", ""casual""]",true,Black V-Neck T-Shirt,984,0.28
apparel-sample-data-2313677000,"[""black""]","Discover a stylish blend of comfort and flair with this black sweater adorned with a stunning gold sequin floral design. Featuring a round neckline and long sleeves, this sweater showcases an eye-catching pattern with delicate shapes like stars, flowers, and leaves. Crafted from a soft synthetic blend, it offers a relaxed fit, ideal for casual outings or adding a touch of glamour to your daily wardrobe.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",65,tops,https://storage.googleapis.com/landingpage-al/91362989_0.jpg,"[""black"", ""sequin"", ""embellished"", ""casual""]",true,Embellished Black Sweater,890,0.13
apparel-sample-data-2313672000,"[""white""]","Discover the charm of our white ruffled short-sleeve shirt, designed with a rounded collar and front placket. Crafted from lightweight material, this shirt features a relaxed fit and rounded hemline, offering both comfort and style for your casual outings.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91362177_0.jpg,"[""multicolor"", ""relaxed fit"", ""lightweight"", ""ruffled""]",true,White Ruffled Short-Sleeve Shirt,890,0.93
apparel-sample-data-2313669000,"[""dark green""]","Discover comfort and style with our oversized dark green knit top. Made from soft knit material, it offers a loose fit that is perfect for casual outings or lounging at home. The rich forest green hue adds a touch of elegance to your everyday wardrobe.","{""lvl0"": ""clothing"", ""lvl1"": ""clothing > tops""}",45,tops,https://storage.googleapis.com/landingpage-al/91361363_0.jpg,"[""multicolor"", ""fine-knit"", ""casual""]",true,Oversized Dark Green Knit Top,932,0.67
apparel-sample-data-2313646000,"[""black"", ""blue"", ""pink""]","Embrace a playful style with this black t-shirt featuring a vibrant blue octopus adorned with a whimsical pink bow and a pearl. Crafted from soft material, this shirt offers both comfort and a unique flair for casual outings.","{""lvl0"": ""apparel"", ""lvl1"": ""apparel > tops""}",25,tops,https://storage.googleapis.com/landingpage-al/91356473_0.jpg,"[""graphic"", ""casual"", ""comfortable""]",true,Black T-shirt with Octopus Design,950,0.95
